accX,accY,accZ,gyrX,gyrY,gyrZ,annotation
-1.4739787578582764,-7.027719974517822,3.5916268825531006,0.2785463333129883,-0.8808417320251465,0.8075400590896606,#
-1.6007983684539795,-7.1641106605529785,3.1896328926086426,0.0708582773804664,-0.836860716342926,0.7036960124969482,#
-1.9094725847244265,-7.384250640869141,2.57228422164917,-0.1514901220798492,-0.6499415040016174,0.4825693070888519,#
-1.9094725847244265,-7.384250640869141,2.57228422164917,-0.1795890927314758,-0.5705313086509705,0.2651077210903168,#
-2.021935224533081,-8.039883613586426,2.562713146209717,-0.1209477484226226,-0.5717529654502869,0.1795890927314758,#
-2.0243279933929443,-8.798408508300781,2.9934213161468506,0.0745233595371246,-0.620620846748352,0.069636583328247,#
-1.921436548233032,-8.530412673950195,2.825923442840576,0.2480039745569229,-0.7317950129508972,-0.0232121963053941,#
-1.9118653535842896,-8.439485549926758,2.756531953811645,0.3811686933040619,-0.8160918951034546,-0.0733016654849052,#
-1.9118653535842896,-8.439485549926758,2.756531953811645,0.4679089784622192,-0.8576295375823975,-0.0647498071193695,#
-1.9262222051620483,-8.71226692199707,3.1728827953338623,0.4337015450000763,-0.8124268054962158,-0.0415376126766204,#
-2.09850549697876,-8.317451477050781,3.2135608196258545,0.4263713657855987,-0.6829272508621216,-0.0610847249627113,#
-2.0003998279571533,-8.0350980758667,3.620340585708618,0.2370087206363678,-0.549762487411499,-0.0390942245721817,#
-2.09850549697876,-8.212166786193848,4.122833251953125,0.0610847249627113,-0.4923428893089294,-0.0256555844098329,#
-2.108076810836792,-8.678767204284668,4.015156269073486,-0.3384093642234802,-0.3823903799057007,0.0354291386902332,#
-2.108076810836792,-8.678767204284668,4.015156269073486,-0.5558710098266602,-0.3286358118057251,0.0952921733260154,#
-2.287538528442383,-8.71226692199707,3.739981651306152,-0.6035171151161194,-0.2895416021347046,0.0965138673782348,#
-2.531606435775757,-8.86780071258545,3.814159393310547,-0.5974085927009583,-0.1637070626020431,0.0342074446380138,#
-2.622533798217773,-9.475577354431152,4.022334575653076,-0.5851916074752808,-0.1099525094032287,-0.0574196390807628,#
-2.682354211807251,-9.456435203552246,4.34536600112915,-0.4972296357154846,-0.0989572554826736,-0.0965138673782348,#
-2.682354211807251,-9.456435203552246,4.34536600112915,-0.2015795856714248,-0.1062874197959899,-0.1856975704431533,#
-2.6703903675079346,-9.083154678344728,4.130012035369873,-0.0745233595371246,-0.1319430023431778,-0.1930277347564697,#
-2.720639228820801,-8.901299476623535,3.926621913909912,-0.0415376126766204,-0.1856975704431533,-0.1478250324726104,#
-2.763710021972656,-9.049654960632324,3.919443368911743,-0.3347443044185638,-0.1881409436464309,-0.0965138673782348,#
-2.912065029144287,-9.564111709594728,3.99362063407898,-0.4532486498355865,-0.199136197566986,-0.0916270837187767,#
-2.912065029144287,-9.564111709594728,3.99362063407898,-0.494786262512207,-0.2528907656669616,-0.0354291386902332,#
-2.871387243270874,-9.688538551330566,4.25922441482544,-0.310310423374176,-0.3261924386024475,0.0537545569241046,#
-3.187239646911621,-9.355937004089355,3.854837417602539,-0.2174616158008575,-0.3542913794517517,0.0867403075098991,#
-3.3403804302215576,-9.207581520080566,3.5916268825531006,-0.2040229737758636,-0.4214845895767212,0.1209477484226226,#
-3.5772697925567627,-9.726823806762695,3.5581274032592773,-0.310310423374176,-0.4727957546710968,0.128277912735939,#
-3.873979806900024,-9.511469841003418,3.754338502883911,-0.4214845895767212,-0.5204418301582336,0.1722589135169983,#
-3.873979806900024,-9.511469841003418,3.754338502883911,-0.282211422920227,-0.5766398310661316,0.2260134816169738,#
-4.357330322265625,-8.57348346710205,3.742374420166016,-0.1930277347564697,-0.6022953391075134,0.2492256760597229,#
-4.833501815795898,-8.283952713012695,3.5700912475585938,-0.287098228931427,-0.5913001298904419,0.282211422920227,#
-5.14456844329834,-9.066404342651367,3.7734813690185542,-0.5558710098266602,-0.6719319820404053,0.3738385140895843,#
-4.694717884063721,-9.743573188781738,3.608376264572144,-0.6572716236114502,-0.73912513256073,0.388498842716217,#
-4.694717884063721,-9.743573188781738,3.608376264572144,-0.4239279925823211,-1.1141853332519531,0.3897205293178558,#
-4.412364959716797,-9.343972206115724,3.35713005065918,-0.2651077210903168,-1.2510151863098145,0.4581354260444641,#
-5.39342212677002,-9.509077072143556,2.483749866485596,-0.1820324808359146,-1.1080769300460815,0.4789042472839355,#
-5.613561630249023,-9.875179290771484,2.344966173171997,-0.2333436459302902,-0.7794410586357117,0.3347443044185638,#
-4.1730828285217285,-10.047462463378906,2.5076780319213867,-0.2626643180847168,-0.9089407324790956,0.3151971697807312,#
-2.720639228820801,-9.470791816711426,3.6921253204345694,0.0427593067288398,-1.5149011611938477,0.3371876776218414,#
-2.720639228820801,-9.470791816711426,3.6921253204345694,0.5583143830299377,-1.8655275106430051,0.4764608442783355,#
-1.6295121908187866,-7.223931312561035,4.493720531463623,0.6120689511299133,-1.7445796728134155,0.5717529654502869,#
-0.0095712905749678,-6.422336101531982,5.407779216766357,0.0574196390807628,-1.4892456531524658,0.5632011890411377,#
2.0171494483947754,-8.482556343078613,5.493920803070068,-0.5583143830299377,-1.4318259954452517,0.4544703662395477,#
3.830909013748169,-10.26520824432373,8.01356315612793,-0.785549521446228,-1.2791141271591189,0.4300364553928375,#
3.830909013748169,-10.26520824432373,8.01356315612793,-0.8441908955574036,-0.6365028619766235,-0.0134386392310261,#
4.792823314666748,-11.06680393218994,11.176874160766602,-0.6096255779266357,-0.5094466209411621,-0.2260134816169738,right
7.556533336639404,-12.928421020507812,13.404592514038086,-0.5143333673477173,-0.5827482342720032,-0.3384093642234802,right
12.80160140991211,-13.581660270690918,12.272788047790527,-0.1417165547609329,-0.2247917801141739,-0.7879929542541504,right
14.749359130859377,-8.757731437683105,9.970890998840332,0.4324798583984375,0.0867403075098991,-0.9602518677711488,right
14.749359130859377,-8.757731437683105,9.970890998840332,1.4550381898880005,1.4623682498931885,-1.132510781288147,right
17.96770477294922,-6.948756694793701,13.536197662353516,1.068982720375061,3.2826929092407227,-1.313321590423584,right
20.786449432373047,-9.600004196166992,15.079567909240724,1.0176715850830078,4.103672027587891,-1.4122787714004517,right
21.162124633789062,-14.120046615600586,11.473583221435549,1.440377712249756,5.805492401123047,-1.571099042892456,right
21.722043991088867,-11.205588340759276,7.709674835205078,2.0267910957336426,6.6032586097717285,-1.8142162561416624,right
20.642881393432617,-10.695917129516602,4.498506546020508,2.8599867820739746,8.577516555786133,-2.597322702407837,right
20.642881393432617,-10.695917129516602,4.498506546020508,1.9498244524002075,11.11619758605957,-2.71094012260437,right
19.20718765258789,-13.165310859680176,3.6945178508758554,0.6071821451187134,12.203505516052246,-2.42995023727417,right
20.030319213867188,-19.36750602722168,-1.5529417991638184,-0.910162389278412,12.871773719787598,-1.640735745429993,right
20.396419525146484,-21.157337188720703,-8.267202377319336,1.1337324380874634,12.35621738433838,-1.1019684076309204,right
20.83191299438477,-15.160923957824709,-7.381857395172119,2.6975014209747314,12.142420768737791,-1.2497934103012085,right
